Route_name,Route_link
Delhi to Patiala,https://www.redbus.in/bus-tickets/delhi-to-patiala
Patiala to Delhi,https://www.redbus.in/bus-tickets/patiala-to-delhi
Ludhiana to Delhi,https://www.redbus.in/bus-tickets/ludhiana-to-delhi
Delhi to Ludhiana,https://www.redbus.in/bus-tickets/delhi-to-ludhiana
Ludhiana to Delhi Airport,https://www.redbus.in/bus-tickets/ludhiana-to-delhi-airport
Delhi to Jalandhar,https://www.redbus.in/bus-tickets/delhi-to-jalandhar
Delhi Airport to Patiala,https://www.redbus.in/bus-tickets/delhi-airport-to-patiala
Chandigarh to Patiala,https://www.redbus.in/bus-tickets/chandigarh-to-patiala
Jalandhar to Delhi,https://www.redbus.in/bus-tickets/jalandhar-to-delhi
Delhi Airport to Ludhiana,https://www.redbus.in/bus-tickets/delhi-airport-to-ludhiana
Jalandhar to Delhi Airport,https://www.redbus.in/bus-tickets/jalandhar-to-delhi-airport
Chandigarh to Bathinda,https://www.redbus.in/bus-tickets/chandigarh-to-bathinda
Phagwara to Delhi,https://www.redbus.in/bus-tickets/phagwara-to-delhi
Delhi Airport to Jalandhar,https://www.redbus.in/bus-tickets/delhi-airport-to-jalandhar
Delhi to Amritsar,https://www.redbus.in/bus-tickets/delhi-to-amritsar
Phagwara to Delhi Airport,https://www.redbus.in/bus-tickets/phagwara-to-delhi-airport
Delhi to Phagwara,https://www.redbus.in/bus-tickets/delhi-to-phagwara
Amritsar to Delhi,https://www.redbus.in/bus-tickets/amritsar-to-delhi
Delhi Airport to Phagwara,https://www.redbus.in/bus-tickets/delhi-airport-to-phagwara
Amritsar to Delhi Airport,https://www.redbus.in/bus-tickets/amritsar-to-delhi-airport
Delhi Airport to Kapurthala,https://www.redbus.in/bus-tickets/delhi-airport-to-kapurthala
Amritsar to Patiala,https://www.redbus.in/bus-tickets/amritsar-to-patiala
Patiala to Amritsar,https://www.redbus.in/bus-tickets/patiala-to-amritsar
